date,value
2001-02-02,1092.92
2001-02-05,1099.49
2001-02-06,1106.17
2001-02-07,1098.12
2001-02-08,1119.4
2001-02-09,1128.32
2001-02-12,1131.41
2001-02-13,1119.04
2001-02-14,1119.28
2001-02-15,1134.27
2001-02-16,1101.84
2001-02-19,1105.41
2001-02-20,1102.51
2001-02-21,1089.78
2001-02-22,1074.15
2001-02-23,1039.57
2001-02-26,1036.23
2001-02-27,1014.12
2001-02-28,1054.84
2001-03-01,1054.48
2001-03-02,1004.65
2001-03-05,975.25
2001-03-07,989.46
2001-03-08,985.59
2001-03-09,946.11
2001-03-12,890.56
2001-03-13,831.12
2001-03-14,873.3
2001-03-15,896.19
2001-03-16,878.29
2001-03-19,874.91
2001-03-20,862.77
2001-03-21,884.68
2001-03-22,865.26
2001-03-23,845.91
2001-03-26,845.71
2001-03-27,858.9
2001-03-28,881.9
2001-03-29,869.12
2001-03-30,836.98
2001-04-02,820.78
2001-04-03,829.59
2001-04-04,820.06
2001-04-06,815.85
2001-04-09,813.49
2001-04-10,794.8
2001-04-11,762.57
2001-04-12,736.07
2001-04-16,756.86
2001-04-17,776.35
2001-04-18,812.11
2001-04-19,831.01
2001-04-20,837.76
2001-04-23,838.34
2001-04-24,848.54
2001-04-25,853.04
2001-04-26,842.06
2001-04-27,804.37
2001-04-30,829.03
2001-05-02,838.26
2001-05-03,835.22
2001-05-04,843.72
2001-05-07,853.99
2001-05-08,866.77
2001-05-09,853.21
2001-05-10,852.58
2001-05-11,849.14
2001-05-14,849.05
2001-05-15,851.11
2001-05-16,856.95
2001-05-17,876.96
2001-05-18,876.29
2001-05-21,874.49
2001-05-22,880.76
2001-05-23,891.59
2001-05-24,891.54
2001-05-25,889.86
2001-05-28,903.73
2001-05-29,908.53
2001-05-30,888.27
2001-05-31,882.28
2001-06-01,869.71
2001-06-04,847.63
2001-06-05,838.57
2001-06-06,843.03
2001-06-07,841.51
2001-06-08,852.67
2001-06-11,853.15
2001-06-12,852.56
2001-06-13,855.5
2001-06-14,841.76
2001-06-15,823
2001-06-18,817.04
2001-06-19,826.05
2001-06-20,822.59
2001-06-21,820.08
2001-06-22,808.52
2001-06-25,781.65
2001-06-26,801.4
2001-06-27,804.4
2001-06-28,802.11
2001-06-29,811.5
2001-07-02,805.46
2001-07-03,785.33
2001-07-04,786.29
2001-07-05,782.96
2001-07-06,780.02
2001-07-09,774.61
2001-07-10,782.68
2001-07-11,792.03
2001-07-12,811.29
2001-07-13,805.82
2001-07-16,806.5
2001-07-17,804.41
